fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,disp/dem,fator_iminente,fator_pós_deficit,fator_de_risco_total,dmu_nu_popurbana,ihu_pc_risco_inerente,ihu_pc_riscoposdeficit,ihu_pc_risco,ihu_nu_popriscoinerente,ihu_nu_popriscoposdeficit,ihu_nu_popriscototal,ihu_pc_cobrede,ihu_cs_ish,ISH,area_setor,area_otto,area_scbc,deman_indus,densidade,pop_urb_scbc,pop_urb_bacia,perc_scbc,ihu_rel,ire_cs_hum,CORINGA,igh_ind
1,7761879,320010205000001,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"0,03969077389","5,412990806","0,04","0,000135","0,00002494000172","0,0000009976000687","0,0001349503493","0,007389630139","0,022","2,999",Médio,"0,00"
2,7761879,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"0,1875137391","5,412990806","0,115","0,000135","0,00002494000172","0,000002868100198","0,0001349503493","0,02124518665","0,064","2,999",Médio,"13365,19"
3,7761881,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,719","0,000","0,139","19,321","5,175812055","0,012","0,000","0,012",48.980,"0,01244","0,00000","0,01244",609,0,609,1,"3,00",Médio,"0,1875137391","5,879590608","0,072",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
4,7761879,320010205000003,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"0,07626691853","5,412990806","0,076","0,000135","0,00002494000172","0,000001895440131","0,0001349503493","0,01404029726","0,042","2,999",Médio,"13365,19"
5,7761879,320010205000004,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"0,1204140602","5,412990806","0,12","0,000135","0,00002494000172","0,000002992800206","0,0001349503493","0,02216889042","0,067","2,999",Médio,"13365,19"
6,7761877,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,959","0,001","0,336","17,160","5,827537251","0,010","0,000","0,010",48.980,"0,00982","0,00000","0,00982",481,0,481,1,"3,00",Médio,"0,1508555578","1,827402027","0,073","0,0000143","0,000007825316919","0,0000005712481351","0,00001429685401","0,03994742203","0,120","2,999",Médio,"136965,03"
7,7761879,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"0,1508555578","5,412990806","0,043","0,000135","0,00002494000172","0,000001072420074","0,0001349503493","0,007943852399","0,024","2,999",Médio,"13365,19"
8,77618781,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,"0,02003","0,00000","0,02003",981,0,981,1,"3,00",Médio,"0,1508555578","12,35846499","0,035","0,0000275","0,000002225195445","0,00000007788184057","0,00002749896531","0,00283206693","0,008","3,000",Médio,"5334,55"
9,7761879,320010205000008,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"0,08160737994","5,412990806","0,082","0,000135","0,00002494000172","0,000002045080141","0,0001349503493","0,01514874178","0,045","2,999",Médio,"13365,19"
10,7761879,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"0,3629238066","5,412990806","0,132","0,000135","0,00002494000172","0,000003292080227","0,0001349503493","0,02438577946","0,073","2,999",Médio,"13365,19"
11,77618781,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,"0,02003","0,00000","0,02003",981,0,981,1,"3,00",Médio,"0,3629238066","12,35846499","0,23","0,0000275","0,000002225195445","0,0000005117949523","0,00002749896531","0,01861072554","0,056","3,000",Médio,"5334,55"
12,7761879,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"0,3247574084","5,412990806","0,22","0,000135","0,00002494000172","0,000005486800378","0,0001349503493","0,04064296576","0,122","2,999",Médio,"13365,19"
13,77618781,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,"0,02003","0,00000","0,02003",981,0,981,1,"3,00",Médio,"0,3247574084","12,35846499","0,104","0,0000275","0,000002225195445","0,0000002314203263","0,00002749896531","0,008415284591","0,025","3,000",Médio,"5334,55"
14,7761882,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,043","0,002","0,002","3,613","27,67658853","0,000","0,000","0,000",48.980,"0,00044","0,00000","0,00044",21,0,21,1,"4,00",Alto,"26,09649438","10,30969875","10,156",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
15,776188421,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,080","0,000","0,001","1,765","56,67048002","0,000","0,000","0,000",48.980,"0,00010","0,00000","0,00010",5,0,5,1,"5,00",Máximo,"26,09649438","1,759884034","0,059",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
16,77618783,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,070","0,018","0,018","26,064","3,83672953","0,023","0,000","0,023",48.980,"0,02264","0,00000","0,02264",1.109,0,1.109,1,"3,00",Médio,"26,09649438","16,87727887","8,382",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
