fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,dmu_nu_vab,area_setor,area_otto,area_scbc
1,7761879,320010205000001,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",48.980,"0,03969077389","5,412990806","0,04"
2,7761879,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",48.980,"0,1875137391","5,412990806","0,115"
3,7761881,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,719",0,"0,139","19,321",48.980,"0,1875137391","5,879590608","0,072"
4,7761879,320010205000003,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",48.980,"0,07626691853","5,412990806","0,076"
5,7761879,320010205000004,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",48.980,"0,1204140602","5,412990806","0,12"
6,7761877,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,959","0,001","0,336","17,16",48.980,"0,1508555578","1,827402027","0,073"
7,7761879,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",48.980,"0,1508555578","5,412990806","0,043"
8,77618781,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511",48.980,"0,1508555578","12,35846499","0,035"
9,7761879,320010205000008,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",48.980,"0,08160737994","5,412990806","0,082"
10,7761879,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",48.980,"0,3629238066","5,412990806","0,132"
11,77618781,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511",48.980,"0,3629238066","12,35846499","0,23"
12,7761879,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",48.980,"0,3247574084","5,412990806","0,22"
13,77618781,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511",48.980,"0,3247574084","12,35846499","0,104"
14,7761882,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,043","0,002","0,002","3,613",48.980,"26,09649438","10,30969875","10,156"
15,776188421,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,08",0,"0,001","1,765",48.980,"26,09649438","1,759884034","0,059"
16,77618783,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,07","0,018","0,018","26,064",48.980,"26,09649438","16,87727887","8,382"
