fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,irri_arroz,irri_cafe,irri_cana,irri_oc,irri_total,irri_arroz_risco_iminente,irri_arroz_risco_pos_deficit,irri_arroz_risco_total,irri_cafe_risco_iminente,irri_cafe_risco_pos_deficit,irri_cafe_risco_total,irri_cana_risco_iminente,irri_cana_risco_pos_deficit,irri_cana_risco_total,irri_oc_risco_iminente,irri_oc_risco_pos_deficit,irri_oc_risco_total,irri_total_risco_iminente,irri_total_risco_pos_deficit,irri_total_risco_total,cs_ish,area_scbc,area_otto,area_scbc,deman_agri,densidade,deman_agri_scbc,deman_agri_otto,perc_scbc,irri_risco_scbc,cs_ish_scbc,irri_scbc,ire_cs_irri_eco,,
Chave primária única da poção do setor cencitário,Código da respectiva ottobacia (BHO 2017) onde está a porção do setor censitário.,Código IBGE da porção do setor cencitário,Tipo de setor censitário (rural,Código do município,Nome do município,Unidade da Federação,"Situação do setor, se é urbana (1, 2 e 3) ou rural (demais valores)",disp_q95,dem_ret20,dem_acm,bal_perc,Produção irrigada por Municipio por cultura (Arroz) (1000 R$),Produção irrigada por Municipio por cultura (Café) (1000 R$),Produção irrigada por Municipio por cultura (Cana) (1000 R$),Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$),Valor da produção irrigada do município  (1000 R$),Produção irrigada por Municipio por cultura (Arroz) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Arroz) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Arroz) (1000 R$)  em risco total.,Produção irrigada por Municipio por cultura (Café) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Café) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Café) (1000 R$)  em risco total.,Produção irrigada por Municipio por cultura (Cana) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Cana) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Cana) (1000 R$)  em risco total.,Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$)  em risco total., Valor de produção irrigada (1000 R$) em risco iminente, Valor de produção irrigada (1000 R$) em risco pós-déficit., Valor de produção irrigada (1000 R$) em risco total.,Classe (1-5) do Índice de Segurança Hídrica do município associado à produção irrigada,Área total do setor censitário (km²),Área total da ottobacia (km²),Área do setor censitário interno à ottobacia (km²),Demanda agrícola por BHO (m³/s) (tabela balanços  2020),Densidade da demanda agricola na BHO (m³/s . km²) (tabela balanços 2020),Demanda agricola estimada da porção do setor cencitário interno à ottobacia (m³/s),Demanda agricola estimada para a ottobacia (m³/s),Percentual da demanda agricola na porção do setor cencitário que está na ottobacia em relação à demanda agricola total da ottobacia, Valor de produção irrigada (mil R$) em risco da porção do setor censitário interno a cada ottobacia.,Classe (1-5) do Índice de Segurança Hídrica associado à agricultura irrigada da porção do setor censitário interno a cada ottobacia., Valor de produção irrigada (mil R$) por setor cencitário,Classe (1-5) do Índice de Segurança Hídrica da ottobacia associado à sua demanda,,Produção por Ottobacia (R$)
1,7761879,320010205000001,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,03969077389","5,412990806","0,04","0,002484","0,0004588960316","1,835584126E-05","0,002483086427","0,007389630139","R$ 7,65","0,022",,"2,999",Médio,1
2,7761879,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,1875137391","5,412990806","0,115","0,002484","0,0004588960316","5,277304363E-05","0,002483086427","0,02124518665","R$ 22,00","0,064",,"2,999",Médio,1
3,7761881,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,719",0,"0,139","19,321","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.364,12","R$ 0,00","R$ 1.364,12","R$ 0,00","R$ 0,00","R$ 0,00","R$ 16,44","R$ 0,00","R$ 16,44","R$ 1.380,56","R$ 0,00","R$ 1.380,56",3,"0,1875137391","5,879590608","0,072",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
4,7761879,320010205000003,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,07626691853","5,412990806","0,076","0,002484","0,0004588960316","3,48760984E-05","0,002483086427","0,01404029726","R$ 14,54","0,042",,"2,999",Médio,1
5,7761879,320010205000004,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,1204140602","5,412990806","0,12","0,002484","0,0004588960316","5,506752379E-05","0,002483086427","0,02216889042","R$ 22,95","0,067",,"2,999",Médio,1
6,7761877,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,959","0,001","0,336","17,16","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.136,77","R$ 0,00","R$ 1.136,77","R$ 0,00","R$ 0,00","R$ 0,00","R$ 13,70","R$ 0,00","R$ 13,70","R$ 1.150,47","R$ 0,00","R$ 1.150,47",3,"0,1508555578","1,827402027","0,073","0,001051","0,0005751334323","4,198474056E-05","0,001050768781","0,03994742203","R$ 45,96","0,12",,"2,999",Médio,1
7,7761879,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,1508555578","5,412990806","0,043","0,002484","0,0004588960316","1,973252936E-05","0,002483086427","0,007943852399","R$ 8,23","0,024",,"2,999",Médio,1
8,77618781,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 0,00","R$ 0,00","R$ 27,41","R$ 0,00","R$ 27,41","R$ 2.300,94","R$ 0,00","R$ 2.300,94",3,"0,1508555578","12,35846499","0,035","0,007862","0,0006361631486","2,22657102E-05","0,00786170419","0,00283206693","R$ 6,52","0,008",,3,Médio,1
9,7761879,320010205000008,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,08160737994","5,412990806","0,082","0,002484","0,0004588960316","3,762947459E-05","0,002483086427","0,01514874178","R$ 15,69","0,045",,"2,999",Médio,1
10,7761879,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,3629238066","5,412990806","0,132","0,002484","0,0004588960316","6,057427617E-05","0,002483086427","0,02438577946","R$ 25,25","0,073",,"2,999",Médio,1
11,77618781,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 0,00","R$ 0,00","R$ 27,41","R$ 0,00","R$ 27,41","R$ 2.300,94","R$ 0,00","R$ 2.300,94",3,"0,3629238066","12,35846499","0,23","0,007862","0,0006361631486","0,0001463175242","0,00786170419","0,01861072554","R$ 42,82","0,056",,3,Médio,1
12,7761879,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,3247574084","5,412990806","0,22","0,002484","0,0004588960316","0,000100957127","0,002483086427","0,04064296576","R$ 42,08","0,122",,"2,999",Médio,1
13,77618781,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 0,00","R$ 0,00","R$ 27,41","R$ 0,00","R$ 27,41","R$ 2.300,94","R$ 0,00","R$ 2.300,94",3,"0,3247574084","12,35846499","0,104","0,007862","0,0006361631486","6,616096746E-05","0,00786170419","0,008415284591","R$ 19,36","0,025",,3,Médio,1
14,7761882,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,043","0,002","0,002","3,613","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","10,30969875","10,156","0,001287","0,0001248339094","0,001267813184","0,001287037606","0,9850918292","R$ 0,00","4,925",,5,Máximo,1
15,776188421,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,08",0,"0,001","1,765","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","1,759884034","0,059",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
