cod_mun,Município,UF,Area equipada total   ,area_arroz,Area equipada por irrigação por Municipio (Café),Area equipada por Municipio (cana de açucar, Irrigada e Fertirrigada),Area equipada por irrigação por Municipio (Outras culturas),Area potencial de ser colhida irrigada por municipio por cultura  (Arroz ),Area potencial de ser colhida irrigada por municipio por cultura  (Café),Area potencial de ser colhida irrigada por municipio por cultura (Cana),Area potencial de ser colhida irrigada por municipio por cultura (Outras Culturas),Area potencial de ser colhida irrigada por municipio por cultura ,Valor da produção total do município (1000 R$) do Arroz ,Valor da produção total do município (1000 R$) do Café ,Valor da produção total do município (1000 R$) da cana de açucar (Irrigada e Fertirrigada) ,Valor da produção total do município (1000 R$) de Outras Culturas ,Valor da produção total do município (1000 R$) ,Area Colhida por municipio (ha) de arroz ,Area Colhida por municipio (ha) Café ,Area Colhida por municipio (ha) cana de açucar (Irrigada e Fertirrigada),Area Colhida  por municipio (ha) Outras Culturas  ,Area Colhida total  (ha) por municipio ,taxa_arroz,Taxa regional media de produção de Café (1000R$/ha) ,Taxa regional media de produção de Cana (1000R$/ha) ,Taxa regional media de produção de Demais culturas (1000R$/ha) ,Taxa regional media de produção (1000R$/ha) ,Produção irrigada por Municipio por cultura (Arroz) (1000 R$),Produção irrigada por Municipio por cultura (Café) (1000 R$),Produção irrigada por Municipio por cultura (Cana) (1000 R$),Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$),Produção irrigada por Municipio (1000 R$)
2900108,Abaíra,BA,408,0,8,0,400,0,8,0,1000,1008,"R$ 25,00","R$ 1.792,00","R$ 2.038,00","R$ 1.930,00","R$ 5.785,00",14,145,300,471,930,"1,785714286","12,35862069","6,793333333","4,097664544","6,220430108","R$ 0,00","R$ 98,87","R$ 0,00","R$ 4.097,66","R$ 4.196,53",
2900207,Abaré,BA,3.256,0,0,0,3.256,0,0,0,8140,8140,-,-,-,"R$ 50.357,00","R$ 50.357,00",-,-,-,2887,2887,0,0,0,"17,44267406","17,44267406","R$ 0,00","R$ 0,00","R$ 0,00","R$ 141.983,37","R$ 141.983,37",
2900306,Acajutiba,BA,125,0,0,0,125,0,0,0,"312,5","312,5",-,-,-,"R$ 20.145,00","R$ 20.145,00",-,-,-,3518,3518,0,0,0,"5,726264923","5,726264923","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.789,46","R$ 1.789,46",
2900355,Adustina,BA,3,0,0,0,3,0,0,0,"7,5","7,5",-,-,-,"R$ 149.440,00","R$ 149.440,00",-,-,-,34700,34700,0,0,0,"4,306628242","4,306628242","R$ 0,00","R$ 0,00","R$ 0,00","R$ 32,30","R$ 32,30",
2900405,Água Fria,BA,0,0,0,0,0,0,0,0,0,0,-,-,-,"R$ 1.084,00","R$ 1.084,00",-,-,-,4108,4108,0,0,0,"0,2638753651","0,2638753651","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2900504,Érico Cardoso,BA,358,0,0,0,358,0,0,0,895,895,"R$ 120,00","R$ 37,00","R$ 1.324,00","R$ 5.685,00","R$ 7.166,00",50,5,240,1192,1487,"2,4","7,4","5,516666667","4,769295302","4,819098857","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.268,52","R$ 4.268,52",
2900603,Aiquara,BA,107,0,0,0,107,0,0,0,"267,5","267,5",-,"R$ 11,00","R$ 29,00","R$ 25.235,00","R$ 25.275,00",-,2,7,2423,2432,0,"5,5","4,142857143","10,41477507","10,39268092","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.785,95","R$ 2.785,95",
2900702,Alagoinhas,BA,132,0,0,0,132,0,0,0,330,330,-,-,"R$ 6,00","R$ 38.540,00","R$ 38.546,00",-,-,5,1922,1927,0,0,"1,2","20,05202914","20,00311365","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6.617,17","R$ 6.617,17",
2900801,Alcobaça,BA,303,0,221,0,82,0,221,0,205,426,-,"R$ 57.136,00","R$ 108,00","R$ 45.620,00","R$ 102.864,00",-,1000,20,2903,3923,0,"57,136","5,4","15,71477782","26,22074943","R$ 0,00","R$ 12.627,06","R$ 0,00","R$ 3.221,53","R$ 15.848,59",
2900900,Almadina,BA,10,0,0,0,10,0,0,0,25,25,-,"R$ 1.960,00","R$ 131,00","R$ 30.665,00","R$ 32.756,00",-,84,20,2610,2714,0,"23,33333333","6,55","11,74904215","12,06927045","R$ 0,00","R$ 0,00","R$ 0,00","R$ 293,73","R$ 293,73",
