COBACIA,ire_cs_irri_eco
7761879,"2,99889665"
7761881,"0,00000000"
7761877,"2,99934000"
77618781,"2,99988712"
7761882,"5,00014610"
776188421,"0,00000000"
77618783,"3,00012818"
7761883,"3,00091593"
77617296,"4,99953107"
776188423,"5,00017702"
77618841,"3,00062531"
7761876,"2,99994972"
77618747,"0,00000000"
7761885,"3,00033775"
7761892,"3,00008134"
7761896,"3,00004314"
77618741,"3,00018361"
77618951,"0,00000000"
7761875,"2,99991971"
7761891,"2,99989130"
77618952,"0,00000000"
7761893,"3,00042650"
77618746,"0,00000000"
7761842,"3,00019417"
7761846,"3,00011628"
77618723,"3,00000690"
77618717,"2,99984953"
77618721,"2,99979698"
77618722,"0,00000000"
77618712,"0,00000000"
77618782,"3,00011972"
7761873,"3,00027519"
77618745,"0,00000000"
77618743,"5,00111043"
77618744,"0,00000000"
77618694,"1,99997720"
776187423,"4,99995378"
77618693,"3,00001010"
776187421,"2,99969485"
776187163,"2,99997451"
77618636,"2,99989937"
77618673,"3,00008768"
776187422,"3,00022257"
77618691,"3,00009982"
77618672,"3,00038599"
77618863,"3,03666963"
77618862,"0,00000000"
77618861,"2,99997023"
777496,"5,00006894"
7761888,"3,00049383"
7761887,"3,00009215"
777498,"0,00000000"
77618942,"0,00000000"
77618941,"2,99991011"
77618653,"3,00047202"
77618671,"0,00000000"
776187162,"3,00010717"
77618661,"2,99990615"
77618641,"2,99944919"
77618652,"2,99960082"
77618714,"4,99959555"
77618681,"4,99998960"
77618651,"3,00039641"
77618643,"3,00022720"
776183893,"2,99995650"
77618634,"3,00010495"
77618398,"2,99989188"
7762266,"4,99986095"
77618711,"0,00000000"
7761862,"3,00002829"
77618384,"2,99999081"
77618631,"0,00000000"
77618633,"3,00015974"
77618637,"2,99942904"
77618635,"3,00001478"
77618642,"3,00003590"
77622692,"3,00027767"
77618632,"2,99984977"
7761861,"2,99996232"
776183992,"2,00008020"
776185,"2,99962091"
77618665,"4,99986773"
77618667,"5,00026033"
77622693,"1,00001636"
77617297,"0,00000000"
777282,"0,00000000"
777283,"5,00007507"
777295,"4,99998371"
77618492,"2,99992491"
77618493,"3,00016211"
77617295,"3,00001531"
77617294,"0,00000000"
7761897,"2,99952210"
77618955,"2,99971870"
776189542,"2,99984618"
77618953,"0,00000000"
77618983,"3,00005737"
776189541,"0,00000000"
77618991,"2,99995031"
776189543,"5,00008638"
77618992,"0,00000000"
77618995,"0,00000000"
77618982,"2,99987914"
77618981,"0,00000000"
77618696,"0,00000000"
77618945,"0,00000000"
77618943,"0,00000000"
77618944,"0,00000000"
7776498,"3,01552998"
77618994,"0,00000000"
77618993,"0,00000000"
77618895,"3,00008100"
77618894,"2,00034565"
77618844,"4,99974027"
77618891,"2,99881369"
77618892,"2,00046821"
77618845,"2,99998067"
77618893,"2,92320333"
77618715,"0,00000000"
77618713,"0,00000000"
776187161,"0,00000000"
7761841,"2,99987751"
77618843,"0,00000000"
776188422,"0,00000000"
7761844,"3,00024013"
7761845,"2,99875963"
7761843,"2,99943418"
77618396,"3,00003994"
77618365,"1,99998839"
776183943,"1,00000265"
776183994,"0,00000000"
