fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,pec_bov,pec_bub,pec_sui,pec_cap,pec_ovi,pec_gal,pec_total,pec_risco_iminente,pec_risco_pos_deficit,pec_risco_total,cs_ish_urb,area_total_scbc,area_otto,area_scbc_otto,deman_pecuaria,densidade,deman_pecuaria_scbc,deman_pecuaria_otto,perc_deman_pecuaria,cs_ish,ire_cs_pec_eco,
1,7761879,320010205000001,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 977.457,32","R$ 0,00","R$ 977.457,32",3,"0,03969077389","5,412990806","0,04","9,96507E-05","1,84095454E-05","7,363818161E-07","9,961405017E-05","0,007389630139","0,022",3,Médio
2,7761879,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 977.457,32","R$ 0,00","R$ 977.457,32",3,"0,1875137391","5,412990806","0,115","9,96507E-05","1,84095454E-05","2,117097721E-06","9,961405017E-05","0,02124518665","0,064",3,Médio
3,7761881,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,719",0,"0,139","19,321","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.303.276,43","R$ 0,00","R$ 1.303.276,43",3,"0,1875137391","5,879590608","0,072","0,000137184","2,333223674E-05","1,679921045E-06","0,000137193552","0,01224575056","0,037",3,Médio
4,7761879,320010205000003,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 977.457,32","R$ 0,00","R$ 977.457,32",3,"0,07626691853","5,412990806","0,076","9,96507E-05","1,84095454E-05","1,399125451E-06","9,961405017E-05","0,01404029726","0,042",3,Médio
5,7761879,320010205000004,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 977.457,32","R$ 0,00","R$ 977.457,32",3,"0,1204140602","5,412990806","0,12","9,96507E-05","1,84095454E-05","2,209145448E-06","9,961405017E-05","0,02216889042","0,067",3,Médio
6,7761877,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,959","0,001","0,336","17,16","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.086.063,69","R$ 0,00","R$ 1.086.063,69",3,"0,1508555578","1,827402027","0,073","4,86061E-05","2,65984711E-05","1,94168839E-06","4,85954067E-05","0,03994742203","0,12",3,Médio
7,7761879,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 977.457,32","R$ 0,00","R$ 977.457,32",3,"0,1508555578","5,412990806","0,043","9,96507E-05","1,84095454E-05","7,916104523E-07","9,961405017E-05","0,007943852399","0,024",3,Médio
8,77618781,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 2.172.127,38","R$ 0,00","R$ 2.172.127,38",3,"0,1508555578","12,35846499","0,035","0,000251223","2,032801001E-05","7,114803503E-07","0,0002512135477","0,00283206693","0,008",3,Médio
9,7761879,320010205000008,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 977.457,32","R$ 0,00","R$ 977.457,32",3,"0,08160737994","5,412990806","0,082","9,96507E-05","1,84095454E-05","1,509582723E-06","9,961405017E-05","0,01514874178","0,045",3,Médio
10,7761879,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 977.457,32","R$ 0,00","R$ 977.457,32",3,"0,3629238066","5,412990806","0,132","9,96507E-05","1,84095454E-05","2,430059993E-06","9,961405017E-05","0,02438577946","0,073",3,Médio
