Unnamed: 0,id,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,dmu_nu_poptotal,dmu_nu_popurbana,dmu_nu_poprural,ihu_pc_cobrede,classe_ish_mun,area_setor,area_otto,area_scbc,pop,pop_urb_scbc,pop_urb_bacia,ihu_rel,classe_ish_otto,disp_por_dem,fator_iminente,fator_pos_deficit,fator_de_risco_total,irri_arroz,irri_cafe,irri_cana,irri_oc,irri_total
0,1,7761879,320010205000001,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",172981,18362,,"0,812",Alto,"0,03969077389","5,412990806","0,04",212,"213,6516668","7944,053652","0,11",Alto,6.033182503770739,0.0091576875,0.0,0.0091576875,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
1,2,7761879,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",172981,18362,,"0,812",Alto,"0,1875137391","5,412990806","0,115",648,"397,4108796","7944,053652","0,21",Alto,6.033182503770739,0.0091576875,0.0,0.0091576875,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
2,3,7761881,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,719",0,"0,139","19,321",172981,18362,,"0,812",Alto,"0,1875137391","5,879590608","0,072",648,"248,8137681","727,8276323","1,4",Alto,5.175715542673775,0.012443368033333332,0.0,0.012443368033333332,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
3,4,7761879,320010205000003,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",172981,18362,,"0,812",Alto,"0,07626691853","5,412990806","0,076",409,"407,5685841","7944,053652","0,21",Alto,6.033182503770739,0.0091576875,0.0,0.0091576875,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
4,5,7761879,320010205000004,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",172981,18362,,"0,812",Alto,"0,1204140602","5,412990806","0,12",702,"699,5860771","7944,053652","0,36",Alto,6.033182503770739,0.0091576875,0.0,0.0091576875,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
5,6,7761877,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,959","0,001","0,336","17,16",172981,18362,,"0,812",Alto,"0,1508555578","1,827402027","0,073",412,"199,369519","878,8317504","0,93",Alto,5.827505827505828,0.009815519999999998,0.0,0.009815519999999998,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
6,7,7761879,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",172981,18362,,"0,812",Alto,"0,1508555578","5,412990806","0,043",412,"117,43684","7944,053652","0,06",Alto,6.033182503770739,0.0091576875,0.0,0.0091576875,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
7,8,77618781,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511",172981,18362,,"0,812",Alto,"0,1508555578","12,35846499","0,035",412,"95,58812556","2617,085215","0,15",Alto,4.079800905715802,0.020026304033333327,0.0,0.020026304033333327,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
8,9,7761879,320010205000008,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",172981,18362,,"0,812",Alto,"0,08160737994","5,412990806","0,082",356,"357,7127463","7944,053652","0,18",Alto,6.033182503770739,0.0091576875,0.0,0.0091576875,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
9,10,7761879,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575",172981,18362,,"0,812",Alto,"0,3629238066","5,412990806","0,132",712,"258,9634471","7944,053652","0,13",Alto,6.033182503770739,0.0091576875,0.0,0.0091576875,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
