COBACIA,ire_cs_pec_eco
7761879,"2,9988967"
7761881,"3,0002089"
7761877,"2,9993400"
77618781,"2,9998871"
7761882,"5,0001461"
776188421,"5,0003295"
77618783,"3,0001282"
7761883,"3,0009159"
77617296,"4,9995311"
776188423,"5,0001770"
77618841,"3,0006253"
7761876,"2,9999497"
77618747,"4,9997196"
7761885,"3,0003378"
7761892,"3,0000813"
7761896,"3,0000431"
77618741,"3,0001836"
77618951,"2,9998947"
7761875,"2,9999197"
7761891,"2,9998913"
77618952,"4,9997918"
7761893,"3,0004265"
77618746,"5,0000288"
7761842,"3,0001942"
7761846,"3,0001163"
77618723,"3,0000069"
77618717,"2,9998495"
77618721,"2,9997970"
77618722,"4,9995299"
77618712,"4,9994503"
77618782,"3,0001197"
7761873,"3,0002752"
77618745,"5,0006314"
77618743,"5,0011104"
77618744,"5,0001911"
77618694,"1,9999772"
776187423,"4,9999538"
77618693,"3,0000101"
776187421,"2,9996949"
776187163,"2,9999745"
77618636,"2,9998994"
77618673,"3,0000877"
776187422,"3,0002226"
77618691,"3,0000998"
77618672,"3,0003860"
77618863,"2,9999362"
77618862,"4,9999051"
77618861,"2,9999702"
777496,"5,0000689"
7761888,"3,0004938"
7761887,"3,0000922"
777498,"4,9999482"
77618942,"5,0001922"
77618941,"2,9999101"
77618653,"3,0004720"
77618671,"3,0031798"
776187162,"3,0001072"
77618661,"3,9958239"
77618641,"2,9994492"
77618652,"2,9996008"
77618714,"4,9995955"
77618681,"4,9999896"
77618651,"3,0003964"
77618643,"3,0002272"
776183893,"2,9999565"
77618634,"3,0001049"
77618398,"2,9998919"
7762266,"4,9998609"
77618711,"2,9998050"
7761862,"3,0000283"
77618384,"2,9999908"
77618631,"3,0000304"
77618633,"3,0001597"
77618637,"2,9994290"
77618635,"3,0000148"
77618642,"3,0000359"
77622692,"3,0002777"
77618632,"2,9998498"
7761861,"2,9999623"
776183992,"2,0000802"
776185,"2,9996209"
77618665,"4,9998677"
77618667,"5,0002603"
77622693,"1,0000164"
77617297,"3,0000638"
777282,"5,0002901"
777283,"5,0000751"
777295,"4,9999837"
77618492,"2,9999249"
77618493,"3,0001621"
77617295,"3,0000153"
77617294,"5,0000525"
7761897,"2,9995221"
77618955,"2,9997187"
776189542,"2,9998462"
77618953,"3,0003868"
77618983,"3,0000574"
776189541,"3,0006013"
77618991,"2,9999503"
776189543,"5,0000864"
77618992,"5,0000600"
77618995,"4,9997560"
77618982,"2,9998791"
77618981,"3,0045460"
77618696,"2,9998306"
77618945,"5,0000645"
77618943,"4,9957172"
77618944,"5,0004288"
7776498,"3,0124992"
77618994,"4,9998702"
77618993,"4,9997107"
77618895,"3,0000810"
77618894,"2,0003457"
77618844,"4,9997403"
77618891,"2,9988137"
77618892,"2,0004682"
77618845,"2,9999807"
77618893,"2,9232033"
77618715,"2,9996709"
77618713,"3,0001194"
776187161,"2,9741625"
7761841,"2,9998775"
77618843,"2,9938551"
776188422,"4,9999016"
7761844,"3,0002401"
7761845,"2,9987596"
7761843,"2,9994342"
77618396,"3,0000399"
77618365,"1,9999884"
776183943,"1,0000027"
776183994,"4,9993981"
776183995,"2,9998517"
77618491,"3,0003463"
7761847,"2,9993579"
7761848,"3,0000695"
7761271,"1,9998478"
776125993,"2,0000700"
77612611,"0,9996382"
7761281,"2,9999720"
77612751,"3,0079382"
77614972,"3,0001117"
7761277,"2,9998623"
77614973,"3,0000853"
77614943,"3,0001318"
77612741,"1,0002006"
77612742,"1,0000169"
77614942,"3,0001578"
7761273,"1,9998587"
7761276,"2,9998036"
77612753,"2,9998947"
77612752,"1,9999745"
77612743,"0,9999929"
77612613,"1,0000115"
7761263,"0,9999232"
77612781,"2,0125241"
77612785,"1,9999931"
77612783,"1,9998710"
7761265,"0,9999297"
77612782,"1,9999726"
77612934,"3,0000613"
775824243,"2,9998446"
77612933,"3,0118925"
77612932,"3,0000874"
77612935,"2,9998397"
