cobacia,ire_cs_inu
7913,
77975,
77976,
77977,
77979,
77991,
77993,
78111,1
78112,1
78113,1
78131,1
78133,1
78151,2
78152,
78153,
78155,1
78156,
78157,
78159,1
78191,2
78193,2
79111,
79141,3
79144,1
79148,
79155,
79159,
79171,
79172,
79173,
79174,
79175,
79176,
79177,
79179,
779642,
779644,
779785,3
779788,
779811,1
779813,1
779814,1
779815,1
779818,1
779822,
779825,
779828,2
779831,
779832,
779833,
779835,1
779841,
779842,
779843,
779844,
779845,
779846,
779847,
779851,
779854,1
779856,
779857,
779858,
779859,
779871,
779872,
779922,
779923,
779925,
781219,
781227,2
781233,
781251,
781255,
781267,
781279,
781343,
781345,
781351,1
781353,1
781354,
781355,1
781371,1
781373,1
781375,1
781377,1
781418,
781419,2
781433,
781444,
781451,
781453,
781455,
781471,
781485,
781541,
781542,
781543,
781581,1
781582,
781583,
781587,
781615,1
781627,
781631,
781633,
781634,
781635,
781636,
781637,
781639,2
781647,
781655,2
781663,
781671,
781681,
781697,
781711,1
781715,1
781717,1
781719,1
781727,
781731,
781733,2
781734,
781735,2
781737,
781751,2
781757,1
781758,
781765,
781772,2
781774,
781777,
781779,
781793,2
781795,2
781825,
781851,
781852,
781853,
781854,
781855,
781856,
781857,
781941,
781942,
781943,
781944,
781945,
781946,
781947,
781951,2
781953,2
781961,
791121,
791122,
791123,
791126,1
791127,
791128,
791131,
791132,
791133,
791134,2
791135,
791136,
791137,
791141,
791142,
791143,
791144,1
791145,1
791146,1
791147,1
791151,
791152,
791153,
791154,
791155,
791161,
791163,
791164,
791165,1
791166,1
791167,1
791171,
791172,
791173,
791181,
791182,
791183,
791185,
791186,
791187,
791191,
791192,
791193,
791194,
791195,
791196,
791197,
791211,1
791212,1
791213,1
791214,
791215,1
791221,1
791222,
791223,1
791231,
791232,
791233,
791235,
791236,1
791237,1
791241,1
791242,
791243,
791251,
791252,
791253,
791254,1
791256,1
791257,
791258,
791259,
791261,
791263,
791264,
791265,1
791271,
791273,1
791274,1
791275,1
791277,
791278,
791279,
791281,1
791282,
791283,
791291,
791292,
791293,
791294,
791295,
791421,
791422,
791423,
791424,
791425,
791426,
791427,
791431,3
791432,1
791433,1
791451,1
791453,
791454,
791455,
791456,
791457,
791461,1
791463,1
791464,
791465,
791466,
791467,
791468,
791469,1
791471,
791472,
791477,
791478,
791491,
791493,
791494,
791495,
791496,
791497,
791498,
791511,
791513,
791514,
791515,
791521,1
791523,
791524,
791525,
791531,
791532,1
791533,
791541,
791542,
791543,2
791561,
791563,2
791564,
791571,
791572,
791573,
791581,
791583,
791585,2
791586,
791588,
791589,1
791611,2
791612,2
791613,2
791622,2
791623,2
791624,
791625,
791628,
791629,1
791631,2
791632,
791633,2
791634,1
791637,2
791639,2
791641,2
791643,1
791645,1
791651,2
791655,2
791659,
791661,
791662,
791664,
791665,1
791666,
791667,2
791669,
791671,
791672,1
791675,
791677,
791678,
791679,
791682,
791683,
791684,
791685,
791686,
791687,
791688,
791689,
791692,
791693,3
791694,3
791697,
791698,
791781,
791782,
791783,
791811,2
791812,
791813,
791818,
791819,2
791821,
791822,
791823,
791824,
791825,
791831,2
791833,2
791834,
791835,2
791841,1
791842,1
791843,1
791844,
791846,
791847,
791849,
791861,
791862,
791863,
791864,
791865,1
791866,1
791867,1
791871,
791873,
791875,
791881,2
791882,2
791883,1
791884,
791885,
791899,
7796164,
7796165,
7796166,
7796168,
7796169,
7797811,
7797812,
7797813,
7797814,
7797815,
7797821,
7797822,
7797823,
7797824,
7797825,
7797826,
7797827,
7797828,
7797829,
7797831,
7797833,
7797834,
7797835,
7797841,
7797842,
7797843,
7797844,
7797845,
7797846,
7797847,
7797861,
7797863,
7797865,
7797866,
7797867,
7797868,
7797871,
7797872,
7797873,
7797874,
7797875,
7797876,
7797877,
7797878,
7797879,
7797891,
7797893,
7797895,
7797896,
7797897,
7798121,1
7798123,1
7798161,1
7798162,
7798163,
7798171,1
7798172,1
7798173,1
7798191,
7798192,
7798193,
7798211,
7798212,
7798213,1
7798215,
7798231,
7798232,
7798233,
7798241,1
7798242,2
7798243,1
7798261,
7798262,
7798263,3
7798264,
7798265,
7798271,
7798273,
7798274,
7798292,
7798341,
7798342,
7798343,
7798344,
7798345,
7798521,
7798522,
7798523,1
7798531,
7798532,
7798533,
7798535,
7798536,2
7798537,
7798551,
7798552,
7798553,
7799211,
7799212,
7799213,
7799241,
7799242,
7799243,
7799244,
7799245,
7799246,
7799247,
7799248,
7799261,
7799263,
7799264,
7799265,
7799273,
7799275,
7799276,
7799277,
7799278,
7799281,
7799282,
7799283,
7799284,
7799285,
7799291,
7799292,
7799293,
7799294,
7799295,
7799296,
7799297,
7812111,1
7812112,
7812113,1
7812121,
