COBACIA,ire_cs_hum
7761879,"4,10"
7761881,"4,10"
7761877,"4,10"
77618781,"4,10"
776188421,"0,00"
77618783,"0,00"
7761883,"0,00"
77617296,"0,00"
776188423,"0,00"
77618841,"0,00"
7761882,"0,00"
7761892,"0,00"
7761885,"4,10"
7761896,"4,10"
7761876,"0,00"
77618747,"0,00"
77618951,"0,00"
7761875,"4,10"
7761891,"4,10"
7761893,"0,00"
77618952,"0,00"
77618746,"0,00"
77618741,"0,00"
7761846,"0,00"
77618717,"0,00"
77618722,"0,00"
77618721,"0,00"
77618712,"0,00"
77618782,"0,00"
7761873,"0,00"
77618723,"0,00"
7761842,"0,00"
776187421,"0,00"
77618743,"0,00"
77618744,"0,00"
77618694,"3,80"
776187423,"0,00"
77618693,"0,00"
77618745,"0,00"
776187163,"0,00"
77618636,"0,00"
77618673,"0,00"
776187422,"0,00"
77618691,"0,00"
77618672,"0,00"
77618863,"4,10"
77618862,"4,10"
77618861,"4,10"
777496,"0,00"
7761888,"0,00"
7761887,"0,00"
77618942,"0,00"
77618941,"0,00"
777498,"5,00"
77618653,"4,10"
77618671,"4,10"
77618661,"0,00"
77618641,"0,00"
77618652,"0,00"
77618714,"4,10"
77618681,"0,00"
77618651,"0,00"
77618643,"0,00"
776187162,"0,00"
776183893,"0,00"
77618711,"0,00"
77618398,"0,00"
7762266,"0,00"
77618634,"0,00"
77618633,"0,00"
77618635,"0,00"
77618637,"0,00"
77618631,"0,00"
7761862,"0,00"
77618384,"0,00"
77618642,"0,00"
77622692,"0,00"
77618632,"0,00"
7761861,"0,00"
776183992,"0,00"
776185,"0,00"
77618665,"3,80"
77618667,"0,00"
77622693,"0,00"
77617297,"4,10"
777283,"0,00"
777282,"0,00"
777295,"4,40"
77618492,"0,00"
77618493,"0,00"
77617295,"0,00"
77617294,"0,00"
7761897,"4,10"
77618955,"4,10"
77618953,"0,00"
776189542,"0,00"
77618983,"0,00"
776189541,"0,00"
77618991,"0,00"
776189543,"0,00"
77618992,"0,00"
77618995,"0,00"
77618981,"0,00"
77618696,"3,80"
77618982,"0,00"
7776498,"5,00"
77618943,"0,00"
77618944,"0,00"
77618945,"0,00"
77618993,"0,00"
77618994,"0,00"
77618895,"4,10"
77618894,"0,00"
77618844,"0,00"
77618891,"0,00"
77618892,"0,00"
77618845,"0,00"
77618893,"0,00"
77618715,"4,10"
77618713,"4,10"
776187161,"0,00"
7761841,"0,00"
776188422,"0,00"
77618843,"0,00"
7761844,"4,10"
7761845,"4,10"
7761843,"4,10"
77618491,"0,00"
7761847,"0,00"
77618365,"3,80"
776183943,"2,40"
776183994,"0,00"
776183995,"3,80"
77618396,"3,80"
7761848,"0,00"
7761271,"4,10"
776125993,"4,10"
77612611,"4,10"
7761277,"0,00"
77612751,"0,00"
77614943,"0,00"
77614973,"0,00"
77612741,"0,00"
77612742,"0,00"
77614942,"0,00"
7761273,"0,00"
7761276,"0,00"
77612753,"0,00"
77614972,"0,00"
77612752,"0,00"
7761281,"4,10"
77612743,"0,00"
77612613,"0,00"
7761263,"0,00"
77612781,"0,00"
77612783,"0,00"
77612785,"0,00"
7761265,"2,70"
77612934,"0,00"
77612931,"0,00"
7761268,"2,70"
775824243,"0,00"
77612932,"0,00"
77612933,"0,00"
77612935,"0,00"
77612782,"0,00"
77612784,"0,00"
77612583,"0,00"
77612582,"0,00"
77612542,"0,00"
77614914,"0,00"
77612545,"0,00"
77612621,"0,00"
7761266,"2,70"
7761264,"0,00"
775823825,"4,10"
77612581,"0,00"
776125971,"0,00"
77612598,"0,00"
77612612,"0,00"
775822993,"0,00"
776125991,"0,00"
77612596,"0,00"
776125972,"0,00"
77612595,"0,00"
776125992,"0,00"
776125973,"0,00"
77612541,"0,00"
77612591,"0,00"
77612592,"0,00"
77612593,"0,00"
7761257,"0,00"
77614916,"0,00"
7761272,"0,00"
77612543,"0,00"
77582245,"2,00"
77582298,"0,00"
775822425,"4,70"
77612622,"0,00"
77612623,"0,00"
775822972,"0,00"
77582244,"0,00"
77582296,"0,00"
775822992,"0,00"
77612594,"0,00"
775822974,"0,00"
7761253,"2,70"
7761255,"0,00"
77612561,"2,00"
7761478,"0,00"
77614912,"0,00"
77612544,"0,00"
77614913,"0,00"
7761269,"2,70"
7761267,"4,10"
775823893,"0,00"
775824242,"0,00"
77582643,"4,10"
77582651,"4,10"
775826236,"0,00"
77582642,"4,10"
77582645,"0,00"
77582622,"0,00"
775826443,"0,00"
77582646,"0,00"
775826441,"0,00"
775826251,"0,00"
775826252,"0,00"
775826442,"0,00"
77582655,"0,00"
77582652,"0,00"
77582635,"4,10"
77582647,"0,00"
77582747,"0,00"
77582653,"0,00"
77582654,"0,00"
77582641,"3,40"
77582634,"0,00"
77582633,"0,00"
775826263,"0,00"
775826825,"0,00"
7758549,"0,00"
77582648,"0,00"
775826821,"0,00"
775826262,"0,00"
7758267,"4,10"
77582649,"0,00"
77585295,"2,00"
77582656,"0,00"
77582745,"4,10"
77582743,"4,10"
77582742,"4,10"
77582741,"4,10"
77582744,"4,10"
775826232,"0,00"
775826212,"0,00"
77582613,"0,00"
77582612,"0,00"
775826231,"0,00"
775826213,"0,00"
775826211,"0,00"
77582632,"0,00"
77582631,"0,00"
77582714,"0,00"
7758259,"0,00"
77582751,"0,00"
77582746,"0,00"
77582713,"0,00"
77582715,"0,00"
77582711,"0,00"
775827623,"0,00"
77582761,"0,00"
77582611,"0,00"
77582752,"0,00"
77582712,"0,00"
7758273,"0,00"
77582696,"4,10"
775872663,"0,00"
775872662,"0,00"
775826953,"0,00"
77587292,"0,00"
77582694,"0,00"
77582689,"0,00"
775826983,"0,00"
775872942,"0,00"
775826951,"0,00"
77582697,"0,00"
775826982,"0,00"
77587268,"0,00"
77582686,"2,70"
77582685,"4,10"
775826833,"3,40"
77582687,"4,10"
77582681,"0,00"
77582688,"0,00"
77582684,"2,70"
77582691,"0,00"
77582693,"0,00"
77585863,"0,00"
77585862,"0,00"
775826831,"0,00"
775826832,"0,00"
77587269,"0,00"
77585845,"0,00"
77585844,"0,00"
77587243,"0,00"
77585852,"2,70"
77582657,"4,10"
77582662,"0,00"
775826824,"0,00"
77585883,"0,00"
775826822,"0,00"
775826823,"0,00"
7758548,"0,00"
7776581,"5,00"
7778692,"0,00"
7776633,"5,00"
777662,"0,00"
7776632,"0,00"
7776631,"0,00"
77765763,"0,00"
7776583,"5,00"
7776562,"5,00"
77765761,"5,00"
7776582,"5,00"
7776577,"5,00"
77765762,"0,00"
777849,"4,40"
7776565,"0,00"
7778483,"0,00"
777659,"5,00"
777661,"5,00"
77786916,"0,00"
777672,"5,00"
7776523,"4,70"
7776732,"0,00"
7776572,"0,00"
777671,"5,00"
7776532,"5,00"
7776731,"0,00"
7776763,"5,00"
7776733,"0,00"
777675,"0,00"
7776761,"0,00"
7776762,"0,00"
7776741,"0,00"
7778663,"5,00"
7778584,"0,00"
7778585,"4,10"
7778662,"5,00"
7776575,"0,00"
7776574,"5,00"
7776573,"0,00"
7776561,"5,00"
7776571,"0,00"
7775659,"5,00"
7775657,"5,00"
77756561,"5,00"
7775655,"5,00"
77756564,"0,00"
77756562,"0,00"
77756563,"0,00"
7775654,"0,00"
7775663,"0,00"
77756422,"0,00"
77756423,"0,00"
7775661,"0,00"
77756533,"0,00"
77756741,"0,00"
77756723,"0,00"
7775675,"0,00"
7775673,"0,00"
77756721,"0,00"
77756621,"0,00"
7775677,"0,00"
77756793,"5,00"
